"January","February","March","April","May","June","July","August","September","October","November","December"
269,308,362,425,481,618,406,57,7,12,47,185
697,541,501,277,58,0,12,705,1169,1225,1106,906
108,106,188,246,139,63,29,4,0,0,4,32
197,193,220,282,593,549,824,505,54,34,73,148
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
