"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
5.290246,5.331993,5.2241163,4.9520116,4.31984,3.5204327,2.9190733,3.3263063,3.016785,3.0599983,3.2919004,3.2562644,3.288868,3.2151113,3.1279337,3.0499382,3.115164,3.8447714,4.8646193,4.9990997,4.552565,4.0566907,3.6887991,3.5478113
6.2159305,5.105959,4.1197743,3.4615128,4.4608965,5.4038897,5.679438,4.5224338,5.7942286,6.3557515,6.123214,6.5376015,6.9380317,6.3318295,6.2759147,6.2814713,5.0663457,3.8344479,3.968814,2.0672128,2.874782,3.3465633,3.4955485,3.7393467
3.9158068,3.8506076,3.943707,4.1544814,4.6540413,5.050282,5.3109064,4.915,4.1896806,4.1820736,4.6761703,4.8934655,4.4313636,3.7855856,3.1005483,2.1740224,1.759308,2.1579552,3.1420295,3.2397718,3.6741304,3.64336,3.8554268,3.4868681
7.0540247,6.976899,6.9069004,6.9368806,6.7911367,6.582551,6.3933616,5.901819,6.274822,6.898332,7.5081773,8.158953,8.808244,9.177073,9.525735,9.842525,10.136876,10.419268,10.376468,10.371149,10.158003,10.132894,9.977156,9.835465
10.538992,10.3109,10.1107025,9.829491,9.54084,9.135206,8.736874,7.776139,9.288354,9.345499,9.33429,9.248199,9.33719,9.557773,10.059462,10.406532,10.648339,10.952613,11.0292425,11.013444,11.168568,11.339915,11.434618,11.577838
7.5083075,6.996831,6.1827645,5.7041845,5.128988,4.7829785,4.4325843,3.7179549,2.9134378,2.368097,2.0389795,1.5074786,1.1605304,1.343134,2.8016787,4.652541,4.355739,3.979313,3.934871,3.3347356,2.6841645,2.3137467,2.231664,2.4584801
0.95863456,1.753666,2.2323391,2.5274286,2.5683436,2.6399693,2.7412717,3.807571,3.3996572,3.9481733,3.8814778,3.877901,3.5652127,3.0352209,2.3705363,1.7712667,2.1372252,3.8566022,4.667848,5.2592897,5.418048,5.549822,5.979386,6.428057
8.2801075,8.201443,7.9156337,7.5405965,6.9234424,6.0934825,5.0836654,3.6800473,2.6727781,1.8074889,1.094514,0.89069355,0.68424463,1.8701297,2.8055096,3.7540421,4.9411106,5.5410395,5.59714,5.812223,6.117165,6.001694,6.1709213,6.175083
10.2676325,9.929147,9.772176,9.523735,8.995017,8.410515,7.6954274,6.0118527,4.796806,4.376078,4.235574,4.5387444,4.821326,5.1677036,5.622357,6.078499,6.5855985,7.1774254,7.5423646,7.0243907,7.128942,7.428199,7.8973155,8.178548
8.614091,8.90335,8.918697,8.711182,8.504009,8.244802,7.7356124,6.3547463,5.4473524,3.7420337,2.690774,3.8998723,3.6832683,3.256849,2.371392,1.3222411,0.27877232,1.6575948,1.8363869,3.4999783,3.5555842,3.5119376,3.4999545,3.9362187
3.9684644,2.79071,1.3244889,4.565065,4.95357,3.729482,2.9152365,4.606597,4.691603,4.7376366,5.861667,6.381982,6.7343125,7.23083,7.7956944,7.801881,8.183667,8.36657,7.808801,7.6560726,7.613298,7.407836,7.0612473,6.9023275
6.682004,6.5646634,6.5571733,6.4170356,6.5127354,6.4049344,6.2197733,6.473995,6.982064,7.3628674,7.368937,7.707835,8.151618,8.533702,8.91687,9.164695,9.506475,9.559334,9.601683,9.182336,9.348089,9.862469,10.101621,10.216334
9.677182,9.656001,9.460376,9.3907175,8.772271,7.9973626,7.2574825,6.887988,5.7708197,5.6641183,5.8637447,6.2340446,7.1203685,7.5841813,8.670982,9.672319,10.092096,10.100748,10.342625,9.697541,9.9328785,10.257922,10.399591,10.44294
4.833338,3.739911,5.1143427,7.988833,8.133026,7.2595196,4.5686812,4.5407968,4.852656,5.2130322,4.951723,4.459977,4.1173525,4.081969,3.851612,3.7385647,3.6787121,4.001376,4.175945,3.4972453,3.5345423,3.7320273,3.9847336,4.5365
6.63559,5.9902077,5.014891,4.228015,3.8834045,4.40884,5.0208125,4.8255258,4.9608736,5.4397717,6.04499,6.775938,7.3532767,7.609247,7.7592325,8.083214,8.399685,8.562871,8.442578,8.521641,8.887092,8.872186,8.93958,8.780792
8.611472,8.467509,8.255329,7.9556656,7.815889,7.739146,7.5948076,7.549077,6.9317055,7.1880183,7.467406,7.888686,8.215042,8.557869,9.219779,9.532898,9.666627,9.474674,8.543008,8.179408,8.5508585,8.7138195,8.460297,8.05215
7.5610094,7.0437636,6.433171,5.8290095,5.312277,4.944513,4.2911334,4.2573123,3.0725043,2.6199436,2.1742048,1.7587847,1.4905438,1.7003568,2.8730545,4.973974,5.8798385,5.6394076,2.4281206,3.1488428,3.3965738,5.2112045,4.9033394,3.9508116
3.6550894,3.2565637,2.720162,2.3098602,2.3229673,2.4886513,2.6565979,2.3480594,2.2434747,2.5427506,2.5675488,2.738533,3.6244175,4.085557,4.2183003,4.3697367,4.363029,4.785994,4.608689,4.4783077,5.4007297,5.609378,5.1577144,4.6627727
