"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
5.81064,5.858376,6.3325877,6.656156,6.76346,6.4211245,6.013528,6.575243,7.1818414,7.3170094,7.6772904,7.872475,8.065883,8.370665,8.403456,8.666168,9.164923,9.0929365,8.343072,7.0955534,7.424911,7.128831,6.579091,6.6629453
7.297441,7.052987,6.894191,6.7873683,6.8337784,7.08405,7.1853766,8.467855,8.525056,8.346237,8.14821,7.8129644,7.6495113,7.6150103,7.6802416,7.6549287,8.1925535,8.35243,7.972974,7.779284,7.607364,7.646473,7.919206,7.9300895
3.8692124,3.711149,3.5407324,3.7756658,3.9466345,4.0136776,3.6873424,3.5926955,4.2830386,4.574566,4.5474215,4.159895,4.720181,5.142724,5.03524,5.440056,5.9832,5.8045573,5.475459,5.564147,5.3317275,5.3321514,5.010022,4.5336447
6.9955134,6.005702,5.31311,4.8806815,4.1090903,4.3980255,4.356887,4.02,4.314987,4.925003,4.1625614,3.467793,3.4965003,5.1645412,5.2387815,5.0967503,4.395385,5.328616,5.6386747,5.616097,5.1984377,5.240271,5.2545643,5.481455
8.095875,7.622195,7.2628317,7.05864,6.9617357,7.063684,7.192625,6.9672766,7.265206,6.422777,5.4804125,4.8933687,4.646694,4.8271594,4.912401,5.0190034,5.4696445,6.4441333,7.3922477,7.5780597,7.575384,6.9742503,6.5717654,5.9273567
6.648659,6.63147,6.4580393,6.468855,6.506686,6.6896396,6.6710405,7.4695177,7.339347,7.168483,6.8787293,6.4436107,6.1872573,5.9617834,5.4836354,5.6597533,5.6866374,6.015959,6.7370315,7.332488,7.3282747,7.2551055,7.1579137,6.9996343
8.038182,7.869122,7.891522,7.871988,7.597007,7.4298105,7.0548964,7.442569,7.1744204,6.8139243,6.34937,6.1023455,6.1761794,7.411672,7.378232,7.25886,7.450233,6.6584864,7.1111927,7.044211,7.0490603,7.0200953,7.091074,7.0860686
8.733304,8.404425,7.8448415,7.1797557,7.2521076,7.401556,7.0116854,7.094978,7.1415644,8.936027,8.720173,8.58026,8.4426365,8.263395,7.8372464,7.6311893,7.3364463,6.889181,6.7379584,6.62645,6.9310412,6.86843,6.770544,6.6936674
9.056001,9.17899,9.305973,9.3365345,9.23445,9.042228,8.662614,7.847341,8.036995,7.8967023,7.7395954,6.9900513,6.1397653,5.8907547,6.461537,7.645374,8.546847,8.511171,8.744222,8.629749,8.728567,9.057456,9.283005,9.416246
6.9415083,7.1906886,7.399642,7.7110314,7.8572903,7.81386,7.8062935,7.308372,7.664749,7.415224,7.170567,6.9345765,6.453503,6.275473,6.53423,7.0457144,7.810792,8.541381,8.979455,9.436104,9.630267,9.747117,9.816368,9.741451
10.396303,10.182779,9.9920845,9.7145,9.3632765,9.224362,9.102581,9.186878,10.061061,9.210385,8.576943,7.8938904,7.5422482,7.5243554,8.0156555,8.636888,9.385753,9.624178,9.895808,9.822549,10.058054,10.229062,10.186328,10.0256195
7.8706594,7.95535,7.987164,8.12981,8.215948,8.395285,8.532774,8.711808,9.4533825,9.309881,9.113696,9.184349,9.252724,9.092775,8.927928,8.713885,8.63804,8.3867855,7.830789,7.940655,7.947979,8.132961,8.19333,8.229475
9.162187,9.18888,9.1232,8.807246,8.4462805,8.178865,7.8669496,8.095505,8.646565,8.355641,7.8911266,7.707948,7.5693665,7.335339,7.3399477,7.258923,7.491405,7.6318226,8.268683,8.510758,8.966857,9.200133,9.252782,9.239473
10.242738,10.158687,10.082036,10.021078,9.843768,9.699782,9.26512,9.305194,9.632821,10.12162,9.351412,8.517543,7.639031,7.6381316,7.9092236,8.184777,9.001507,9.29691,10.063258,10.5182085,10.71115,10.84005,10.893471,10.954728
7.2709947,7.211655,7.205247,7.294305,7.2207794,7.247272,7.6567454,8.303281,7.9023523,7.4126906,7.025141,6.8042283,6.824135,7.3515964,8.003135,8.904693,9.199302,8.87457,8.863833,8.006653,8.14713,8.2473135,8.163298,7.955057
8.194423,7.8425064,7.5352745,7.40551,7.372776,7.5562854,6.9973288,8.25111,8.957648,9.191032,8.772617,8.6328945,8.733746,8.953534,9.289563,9.6485815,9.975793,9.881709,9.085996,8.523862,8.079319,8.1088705,8.156417,8.132433
9.052034,8.788852,8.705704,8.575718,8.376777,8.211465,7.358005,9.868519,10.528203,10.650877,10.544907,10.524514,10.398432,10.37918,10.280696,10.260843,10.151845,9.098857,8.456256,8.41929,8.232343,7.9348207,7.807712,7.867698
7.4695826,7.574779,7.8406425,7.8571696,7.674722,7.171413,7.1592674,8.627683,8.917217,9.175185,9.1993,9.063155,9.247741,9.46028,9.829589,9.757167,9.703224,9.193907,9.087994,7.8979697,7.919532,8.201836,7.891559,7.2555037
6.7595024,6.641386,6.892187,7.127593,7.334957,7.7450976,7.7193475,8.113899,7.905072,8.119213,8.25986,8.486077,8.670723,8.866171,8.98546,9.114207,9.179487,8.803754,8.285211,7.917703,8.131523,8.012134,7.75467,7.549705
6.3063674,6.225238,5.8434525,5.6102476,5.6179094,5.8715067,5.856113,6.5110106,6.4298363,6.479139,6.820071,7.3795576,7.9395013,8.329065,8.654114,8.99192,8.797564,8.370976,7.8471284,7.026386,6.9991875,6.738742,6.5712276,6.375843
6.3269672,6.094295,5.7474804,5.5325623,5.677268,5.777346,6.276226,7.042671,7.090175,7.233947,7.2129025,7.3244,7.4100847,7.566061,7.9359574,8.341082,8.61626,8.368494,8.167249,7.325266,7.237063,7.055716,6.826234,6.550538
6.0601974,6.004978,6.082949,6.1336913,6.2792444,6.244116,6.167397,6.7436996,7.0206094,6.760092,6.617908,6.387386,6.480994,6.859496,7.1565404,7.279489,8.083122,8.0815115,7.8882713,7.4550543,6.883462,6.8447866,7.0827827,6.952525
6.2317653,6.4963913,6.6154604,6.5463676,6.541796,6.6867113,6.7486777,8.058047,7.898796,7.5245914,7.5668545,7.746436,8.124885,8.132442,7.91313,7.626187,8.009626,7.653804,6.793649,5.8486013,6.0954804,6.130204,6.2154827,6.3023267
6.7534137,6.3082323,6.1741166,6.20556,6.242146,6.331685,6.346739,7.043329,7.982257,7.6037645,7.5312247,7.431788,7.363131,7.3836117,7.563812,7.892898,8.052233,8.241536,7.8826394,7.34434,7.6254015,7.270403,6.7930307,6.356231
6.8227506,7.0061927,7.1959205,7.4795218,7.3154917,7.296151,7.110813,8.834779,9.743703,9.301459,8.950995,8.769511,8.441089,8.2038,7.937776,8.192127,8.612407,8.819718,8.3024645,7.56819,7.6153502,7.918363,8.229847,8.502264
3.5114143,3.3050253,3.0649304,2.9358644,2.8161192,2.250928,1.5331477,2.0450838,2.9246128,3.087027,3.4289017,3.9414754,4.2655535,4.941307,4.377604,4.237686,4.0976906,3.9033177,3.7679343,2.7974238,2.5643644,2.6319485,2.564228,2.7736504
2.769866,2.7222795,1.4652536,0.77639973,1.4566108,2.2262218,2.4306955,2.1348853,2.1874008,2.3106053,2.5774992,2.6700299,2.993041,3.8912616,4.069249,4.9417005,4.2485228,3.9134936,3.4911458,2.4612615,2.7941246,3.144715,3.1179817,3.4179745
8.1191845,8.0880995,8.080279,8.180396,8.270298,8.437833,8.666566,8.647181,9.516247,8.826396,8.101929,7.442312,7.0582056,6.9495993,7.1315174,7.463576,7.533666,6.7650485,6.519219,6.4354086,6.6193213,6.6518545,6.809231,6.673348
7.5917444,7.604012,7.7706113,8.06392,8.262593,8.11359,7.7856154,6.9925594,7.3008614,7.2213273,6.558637,5.897917,5.891555,6.4018173,5.5531344,5.751054,6.51917,6.134431,6.5887747,6.5595284,6.721509,6.8507504,6.928834,7.064046
6.850646,6.920322,7.274194,7.4558144,7.4618006,7.403607,7.230203,7.584929,7.658033,7.4221306,7.1500406,6.9637756,6.7836237,6.7924643,7.0732026,7.4231467,7.676626,7.661307,8.2479105,8.359179,8.418716,8.122694,7.640239,7.2697873
7.3787613,7.339707,7.416879,7.535931,7.6847806,7.6513,7.449377,8.044981,7.6544576,7.138005,6.404237,5.94331,5.532826,5.359856,5.4212985,5.6229677,6.3968315,7.369536,8.298225,8.295376,8.147946,7.8215413,7.4163957,7.0189776
6.975539,7.192902,6.9764705,6.846806,6.8333855,6.860645,6.76914,7.8883166,8.0899105,7.8032746,7.5382395,7.4895782,7.461643,7.3403974,7.1067243,7.4241424,7.506043,7.5095916,8.0257,7.8192325,8.083231,8.460581,8.606036,8.547158
6.4434233,6.1976037,5.8747687,5.6486607,5.664884,6.1121397,6.1744857,6.639738,7.5203004,7.3395667,7.358852,7.712373,7.9015617,8.083702,8.004556,7.793432,7.4183254,6.841699,6.6192226,6.389811,6.6134176,6.325562,6.3427987,6.3699927
