"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0,0,0,0,0,6.2734375,61.8125,151.1875,263.625,367.75,482.25,574.25,614.75,541.75,425.25,292.75,154.125,44.171875,0.603271425,0,0,0,0,0
0,0,0,0,0,4.44140625,52.78125,147.4375,334.375,528.5,656.75,724.5,692,596.25,448.125,335.875,207.5625,64.21875,0.761962771,0,0,0,0,0
0,0,0,0,0,5.279296875,66.90625,170.5625,311.875,450.5,612.5,707.75,721,697.5,611.25,419.5,212.5625,62.359375,0.622558475,0,0,0,0,0
0,0,0,0,0,3.123046875,49.890625,144.375,257.5,370.75,500.375,641.75,724.5,721.5,626,394.25,171.5625,39.734375,0.136291504,0,0,0,0,0
0,0,0,0,0,6.05859375,93.09375,222.5,314.125,366.875,443.625,573.75,661.5,643,473.25,270.25,118.15625,30.34375,0.116638102,0,0,0,0,0
0,0,0,0,0,2.477539063,43.59375,121.375,235.125,398.25,566.5,668,651.5,558,443.25,274.875,132.75,31.59375,0.0065364,0,0,0,0,0
0,0,0,0,0,0.161315903,42.140625,128.625,221.75,334.5,493.75,708,828.5,767.25,593.25,372.625,188.3125,31.078125,0,0,0,0,0,0
0,0,0,0,0,0,25.5,98.5625,190.625,260.375,358.625,540.5,680,660.75,522,299,113.96875,13.49609375,0,0,0,0,0,0
0,0,0,0,0,0,41.359375,117.25,209.4375,349.625,499.5,700,715.25,653.75,511.875,344.125,153.5,18.046875,0,0,0,0,0,0
0,0,0,0,0,0,43.796875,180,337.625,510.25,651,740.5,760.25,709.25,554,379.375,173,25.6171875,0,0,0,0,0,0
0,0,0,0,0,0,25.7578125,148.4375,293,433.375,613,794.25,819.5,705.25,485.875,306.125,130.875,12.03125,0,0,0,0,0,0
0,0,0,0,0,0,26.125,136.8125,286.125,436.375,542,570.25,562.25,505.75,404.75,266.875,104.78125,9.46875,0,0,0,0,0,0
0,0,0,0,0,0,48.015625,201.75,305.375,507.5,674.25,744.25,696.5,586,469.125,295.625,86.125,6.419921875,0,0,0,0,0,0
0,0,0,0,0,0,31.1875,195.375,373,544,652.5,750.25,762,694.5,554.75,388,173.6875,11.8515625,0,0,0,0,0,0
0,0,0,0,0,0.074615397,36.09375,131.3125,232.9375,343,459.5,597.25,696.5,836.5,685,404.125,161.875,25.0546875,0,0,0,0,0,0
0,0,0,0,0,1.154296756,38.28125,118.53125,226.875,343.375,437.375,495.625,530.75,579.75,500.5,335.5,164.4375,29.2578125,0,0,0,0,0,0
0,0,0,0,0,5.8515625,80.28125,191.6875,309.125,430.75,592.5,691.25,790.5,737.25,611,424.125,215.5625,63.296875,0.291625887,0,0,0,0,0
0,0,0,0,0,9.58203125,109.96875,253.1875,366.5,402,469.625,656.25,791.25,715.75,579,337.125,176.6875,49.578125,0.583984315,0,0,0,0,0
0,0,0,0,0,5.634765625,55.359375,143.875,269.375,448.625,659.25,733.5,730.25,602.5,468.25,310.625,166,45.671875,0.569335878,0,0,0,0,0
0,0,0,0,0,7.822265625,80.625,200.625,383,560,666.75,704.5,694.5,637.25,489.875,317.25,151.375,45.640625,0.70703119,0,0,0,0,0
0,0,0,0,0,4.10546875,53.71875,144,284.25,444,593.25,659.5,625.5,536.25,377,236,122.5,35.5,0.293457001,0,0,0,0,0
0,0,0,0,0,1.763671756,54.875,137.9375,229.375,319.625,406.875,523.75,659.5,722.5,636.25,480.375,250.0625,52.90625,0,0,0,0,0,0
