"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",7
"7",8
"8",9
"9",12
"10",13
"11",14
"12",15
"13",28
"14",31
"15",32
"16",33
"17",35
"18",36
"19",37
"20",38
"21",39
"22",45
"23",47
"24",48
"25",50
"26",61
"27",63
"28",91
"29",107
"30",113
"31",118
"32",119
"33",120
"34",140
"35",141
"36",154
"37",155
"38",156
"39",157
"40",167
"41",168
"42",169
"43",172
"44",173
"45",174
"46",175
"47",176
"48",177
"49",183
"50",211
"51",224
"52",229
"53",234
"54",249
"55",270
"56",287
"57",288
"58",309
"59",310
"60",311
"61",318
"62",319
"63",320
"64",329
"65",344
"66",345
"67",349
"68",350
"69",351
"70",352
"71",364
"72",365
"73",366
"74",367
"75",386
"76",387
"77",388
"78",407
"79",425
"80",426
"81",433
"82",434
"83",435
"84",436
"85",437
"86",438
"87",439
"88",440
"89",441
"90",442
"91",443
"92",444
"93",445
"94",446
"95",447
"96",448
"97",449
"98",450
"99",451
"100",454
"101",457
"102",474
"103",475
"104",485
"105",491
"106",500
"107",505
"108",509
"109",510
"110",512
"111",514
"112",519
"113",520
"114",522
"115",523
"116",524
"117",525
"118",532
"119",552
"120",553
"121",554
"122",572
"123",574
"124",602
"125",642
"126",656
"127",666
"128",676
"129",677
"130",681
"131",683
"132",685
"133",691
"134",696
"135",697
"136",702
"137",713
"138",716
"139",723
"140",727
"141",728
"142",729
"143",730
"144",731
"145",736
"146",737
"147",743
"148",744
"149",745
"150",746
"151",747
"152",752
"153",755
"154",773
"155",774
"156",783
"157",784
"158",793
"159",796
"160",807
"161",827
"162",828
"163",830
"164",831
"165",835
"166",836
"167",837
"168",851
"169",853
"170",855
"171",860
"172",861
"173",862
"174",867
"175",870
"176",871
"177",879
"178",880
"179",882
"180",885
"181",887
"182",890
"183",892
"184",901
"185",906
"186",908
"187",912
"188",922
"189",938
"190",939
"191",940
"192",944
"193",945
"194",961
"195",963
"196",984
"197",985
"198",987
"199",989
"200",990
"201",993
"202",994
"203",995
"204",996
"205",1002
"206",1003
"207",1008
"208",1009
"209",1017
"210",1033
"211",1039
"212",1041
"213",1050
"214",1068
"215",1079
"216",1086
"217",1087
"218",1088
"219",1090
"220",1091
"221",1095
"222",1096
"223",1097
"224",1098
"225",1100
"226",1101
"227",1106
"228",1108
"229",1110
"230",1116
"231",1118
"232",1119
"233",1120
"234",1121
"235",1122
"236",1123
"237",1124
"238",1127
"239",1129
"240",1130
"241",1132
"242",1133
"243",1134
"244",1135
"245",1137
"246",1138
"247",1143
"248",1144
"249",1169
"250",1170
"251",1178
"252",1179
"253",1180
"254",1181
"255",1182
"256",1183
"257",1184
"258",1193
"259",1198
"260",1224
"261",1236
"262",1241
"263",1246
"264",1263
"265",1267
"266",1297
"267",1364
"268",1380
"269",1382
"270",1385
"271",1388
"272",1392
"273",1400
"274",1401
"275",1404
"276",1405
"277",1406
"278",1407
"279",1409
"280",1410
"281",1412
"282",1421
"283",1423
"284",1428
"285",1429
"286",1431
"287",1432
"288",1433
"289",1434
"290",1435
"291",1437
"292",1444
"293",1455
"294",1467
"295",1468
"296",1484
"297",1485
"298",1498
"299",1504
"300",1509
"301",1516
"302",1528
"303",1529
"304",1530
"305",1531
"306",1532
"307",1537
"308",1546
"309",1550
"310",1551
"311",1553
"312",1555
"313",1581
"314",1586
"315",1593
"316",1605
"317",1610
"318",1620
"319",1627
"320",1629
"321",1651
"322",1664
"323",1670
"324",1673
"325",1699
"326",1700
"327",1701
"328",1702
"329",1704
"330",1708
"331",1712
"332",1715
"333",1720
"334",1723
"335",1733
"336",1755
"337",1756
"338",1757
"339",1758
"340",1759
"341",1760
"342",1761
"343",1776
"344",1777
"345",1778
"346",1793
"347",1803
"348",1809
"349",1810
"350",1817
"351",1826
"352",1827
"353",1828
"354",1831
"355",1833
"356",1835
"357",1836
"358",1837
"359",1838
"360",1839
"361",1840
"362",1841
"363",1843
"364",1846
"365",1847
"366",1849
"367",1850
"368",1852
"369",1879
"370",1880
"371",1896
"372",1897
"373",1898
"374",1899
"375",1900
"376",1901
"377",1914
"378",1925
"379",1927
"380",1944
"381",1958
"382",1960
"383",1972
"384",1980
"385",1981
"386",1982
"387",1983
"388",1984
"389",1985
"390",1986
"391",1987
"392",1988
"393",1989
"394",1996
"395",1997
"396",2006
"397",2011
"398",2014
"399",2021
"400",2022
"401",2024
"402",2051
"403",2062
"404",2094
"405",2095
"406",2097
"407",2100
"408",2101
"409",2102
"410",2103
