"","x"
"1",49
"2",62
"3",67
"4",98
"5",117
"6",285
"7",286
"8",336
"9",343
"10",384
"11",403
"12",422
"13",458
"14",460
"15",597
"16",674
"17",734
"18",735
"19",788
"20",992
"21",1006
"22",1026
"23",1034
"24",1040
"25",1048
"26",1051
"27",1067
"28",1114
"29",1117
"30",1176
"31",1311
"32",1387
"33",1395
"34",1411
"35",1430
"36",1479
"37",1496
"38",1585
"39",1714
"40",1784
"41",1790
"42",1801
"43",1808
"44",1815
"45",1816
"46",1830
"47",1842
"48",1844
"49",1845
"50",1848
"51",2040
"52",2099
"53",2107
"54",2141
"55",2153
"56",2161
"57",2180
"58",2236
"59",2311
"60",2420
"61",2424
"62",2464
"63",2471
"64",2490
"65",2506
"66",2510
"67",2553
"68",2568
"69",2573
"70",2576
"71",2601
"72",2616
"73",2619
"74",2632
"75",2635
"76",2662
"77",2831
"78",2871
"79",2875
"80",2882
"81",2913
"82",2922
"83",2941
"84",2959
"85",3004
"86",3024
"87",3196
"88",3217
"89",3268
"90",3293
"91",3318
"92",3323
"93",3339
"94",3346
"95",3354
"96",3370
"97",3383
"98",3411
"99",3532
"100",3568
"101",3590
"102",3600
"103",3605
"104",3614
"105",3618
"106",3634
"107",3646
"108",3679
"109",3701
"110",3742
"111",3743
"112",3755
"113",3918
"114",3940
"115",3947
"116",3955
"117",3974
"118",3976
"119",3977
"120",3981
"121",3984
"122",3993
"123",4015
"124",4072
"125",4074
"126",4095
"127",4139
"128",4274
"129",4279
"130",4281
"131",4293
"132",4294
"133",4311
"134",4326
"135",4328
"136",4332
"137",4339
"138",4406
"139",4446
"140",4458
"141",4469
"142",4606
"143",4618
"144",4656
"145",4657
"146",4676
"147",4677
"148",4710
"149",4721
"150",4722
"151",4725
"152",4755
"153",4761
"154",4837
"155",4973
"156",4975
"157",4978
"158",4985
"159",5006
"160",5013
"161",5077
"162",5078
"163",5088
"164",5090
"165",5116
"166",5121
"167",5124
"168",5134
"169",5411
"170",5428
"171",5438
"172",5454
"173",5542
"174",5544
"175",5550
"176",5555
"177",5571
"178",5580
"179",5757
"180",5770
"181",5777
"182",5779
"183",5780
"184",5781
"185",5787
"186",5789
"187",5795
"188",5799
"189",5801
"190",5808
"191",5814
"192",5816
"193",5857
"194",5859
"195",5873
"196",5892
"197",5924
"198",6068
"199",6101
"200",6114
"201",6127
"202",6128
"203",6139
"204",6142
"205",6143
"206",6175
"207",6206
"208",6231
"209",6237
"210",6239
"211",6269
"212",6288
"213",6308
"214",6333
"215",6449
"216",6456
"217",6458
"218",6480
"219",6504
"220",6520
"221",6549
"222",6550
"223",6567
"224",6568
"225",6596
"226",6619
"227",6652
"228",6677
"229",6702
"230",6855
"231",6876
"232",6884
"233",6904
"234",6922
"235",6935
"236",6989
"237",7051
"238",7201
"239",7231
"240",7236
"241",7266
"242",7270
"243",7335
"244",7338
"245",7342
"246",7345
"247",7349
"248",7373
"249",7398
"250",7545
"251",7547
"252",7551
"253",7555
"254",7637
"255",7652
"256",7655
"257",7711
"258",7771
"259",7773
"260",7780
"261",7946
"262",7947
"263",8028
"264",8037
"265",8067
"266",8077
"267",8106
"268",8131
"269",8132
"270",8276
"271",8296
"272",8298
"273",8316
"274",8331
"275",8337
"276",8380
"277",8408
"278",8411
"279",8427
"280",8436
"281",8481
"282",8503
"283",8641
"284",8681
"285",8691
"286",8751
"287",8753
"288",8791
"289",8807
"290",8820
"291",8828
"292",8837
"293",8839
"294",8974
"295",9059
"296",9085
"297",9115
"298",9134
"299",9137
"300",9139
"301",9389
"302",9394
"303",9454
"304",9508
"305",9556
"306",9574
"307",9753
"308",9781
"309",9808
"310",9817
"311",9868
"312",9885
"313",9904
"314",9962
"315",10163
"316",10181
"317",10220
"318",10250
"319",10309
"320",10334
"321",10512
"322",10532
"323",10556
"324",10559
"325",10568
"326",10569
"327",10570
"328",10631
"329",10664
"330",10817
"331",10836
"332",10849
"333",10866
"334",10868
"335",10888
"336",10893
"337",10913
"338",10922
"339",10944
"340",10988
"341",11046
"342",11222
"343",11251
"344",11267
"345",11282
"346",11313
"347",11335
"348",11341
"349",11357
"350",11359
"351",11414
"352",11589
"353",11599
"354",11623
"355",11629
"356",11649
"357",11662
"358",11678
"359",11691
"360",11693
"361",11696
"362",11785
"363",11987
"364",11997
"365",12013
"366",12018
"367",12025
"368",12032
"369",12042
"370",12043
"371",12066
"372",12072
"373",12082
"374",12118
"375",12155
"376",12271
"377",12291
"378",12315
"379",12324
"380",12359
"381",12364
"382",12394
"383",12405
"384",12457
"385",12459
"386",12465
"387",12469
"388",12657
"389",12684
"390",12704
"391",12711
"392",12713
"393",12714
"394",12791
"395",12800
"396",12809
"397",12811
"398",12820
"399",12850
"400",12878
"401",13010
"402",13039
"403",13054
"404",13072
"405",13077
"406",13098
"407",13099
"408",13104
"409",13116
"410",13143
"411",13144
"412",13158
"413",13159
"414",13165
"415",13173
"416",13232
"417",13238
"418",13248
"419",13368
"420",13379
"421",13406
"422",13411
"423",13452
"424",13461
"425",13506
"426",13507
"427",13509
"428",13516
"429",13517
"430",13522
"431",13523
"432",13546
"433",13547
"434",13553
"435",13577
"436",13633
"437",13634
"438",13779
"439",13840
"440",13847
"441",13854
"442",13855
"443",13881
"444",13895
"445",13896
"446",13909
"447",13946
"448",13965
"449",13971
"450",14096
"451",14124
"452",14145
"453",14157
"454",14162
"455",14169
"456",14170
"457",14175
"458",14184
"459",14215
"460",14227
"461",14240
"462",14248
"463",14250
"464",14270
"465",14281
"466",14296
"467",14506
"468",14523
"469",14544
"470",14554
"471",14562
"472",14593
"473",14595
"474",14621
"475",14634
"476",14660
"477",14673
"478",14699
"479",14921
"480",14942
"481",14953
"482",14955
