"","x"
"1",26
"2",28
"3",29
"4",31
"5",32
"6",90
"7",96
"8",106
"9",255
"10",309
"11",329
"12",335
"13",356
"14",361
"15",377
"16",387
"17",406
"18",432
"19",656
"20",659
"21",667
"22",675
"23",689
"24",700
"25",739
"26",745
"27",747
"28",793
"29",836
"30",960
"31",979
"32",1006
"33",1015
"34",1018
"35",1032
"36",1039
"37",1041
"38",1042
"39",1064
"40",1067
"41",1072
"42",1082
"43",1099
"44",1107
"45",1128
"46",1159
"47",1168
"48",1169
"49",1352
"50",1363
"51",1364
"52",1366
"53",1374
"54",1378
"55",1379
"56",1380
"57",1411
"58",1418
"59",1421
"60",1424
"61",1426
"62",1454
"63",1460
"64",1468
"65",1479
"66",1480
"67",1481
"68",1498
"69",1515
"70",1525
"71",1529
"72",1705
"73",1708
"74",1719
"75",1751
"76",1774
"77",1787
"78",1789
"79",1805
"80",1814
"81",1815
"82",1816
"83",1879
"84",1897
"85",1920
"86",1926
"87",2096
"88",2153
"89",2234
"90",2236
"91",2249
"92",2263
"93",2414
"94",2415
"95",2433
"96",2487
"97",2505
"98",2526
"99",2535
"100",2539
"101",2546
"102",2552
"103",2576
"104",2581
"105",2593
"106",2597
"107",2604
"108",2610
"109",2616
"110",2617
"111",2618
"112",2630
"113",2647
"114",2823
"115",2866
"116",2915
"117",2921
"118",2929
"119",2971
"120",2983
"121",3004
"122",3006
"123",3199
"124",3207
"125",3226
"126",3242
"127",3246
"128",3287
"129",3288
"130",3290
"131",3292
"132",3318
"133",3349
"134",3351
"135",3386
"136",3525
"137",3547
"138",3559
"139",3591
"140",3595
"141",3598
"142",3648
"143",3734
"144",3737
"145",3752
"146",3918
"147",3919
"148",3930
"149",3950
"150",3955
"151",3958
"152",3966
"153",3973
"154",4004
"155",4007
"156",4011
"157",4054
"158",4076
"159",4089
"160",4094
"161",4107
"162",4113
"163",4114
"164",4120
"165",4126
"166",4127
"167",4130
"168",4268
"169",4277
"170",4281
"171",4282
"172",4309
"173",4327
"174",4350
"175",4362
"176",4378
"177",4425
"178",4450
"179",4451
"180",4457
"181",4630
"182",4641
"183",4649
"184",4655
"185",4667
"186",4676
"187",4691
"188",4692
"189",4730
"190",4735
"191",4744
"192",4764
"193",4779
"194",4781
"195",4787
"196",4845
"197",4846
"198",5009
"199",5013
"200",5015
"201",5022
"202",5035
"203",5040
"204",5042
"205",5077
"206",5103
"207",5110
"208",5111
"209",5128
"210",5145
"211",5154
"212",5155
"213",5161
"214",5163
"215",5165
"216",5202
"217",5210
"218",5218
"219",5400
"220",5401
"221",5404
"222",5410
"223",5428
"224",5431
"225",5432
"226",5465
"227",5518
"228",5520
"229",5530
"230",5541
"231",5552
"232",5553
"233",5564
"234",5580
"235",5769
"236",5784
"237",5792
"238",5813
"239",5876
"240",5903
"241",5904
"242",5907
"243",5909
"244",6113
"245",6115
"246",6119
"247",6155
"248",6163
"249",6174
"250",6231
"251",6233
"252",6248
"253",6250
"254",6251
"255",6262
"256",6279
"257",6296
"258",6300
"259",6467
"260",6468
"261",6470
"262",6471
"263",6495
"264",6498
"265",6500
"266",6523
"267",6540
"268",6556
"269",6565
"270",6568
"271",6577
"272",6586
"273",6623
"274",6632
"275",6633
"276",6649
"277",6662
"278",6675
"279",6679
"280",6816
"281",6852
"282",6873
"283",6895
"284",6906
"285",6908
"286",6911
"287",6969
"288",6988
"289",7007
"290",7011
"291",7173
"292",7192
"293",7200
"294",7209
"295",7210
"296",7218
"297",7227
"298",7234
"299",7257
"300",7265
"301",7282
"302",7286
"303",7300
"304",7301
"305",7329
"306",7370
"307",7402
"308",7545
"309",7559
"310",7575
"311",7579
"312",7595
"313",7596
"314",7605
"315",7613
"316",7631
"317",7633
"318",7664
"319",7678
"320",7686
"321",7694
"322",7703
"323",7713
"324",7715
"325",7721
"326",7728
"327",7731
"328",7743
"329",7760
"330",7767
"331",7768
"332",7899
"333",7904
"334",7905
"335",7921
"336",7922
"337",7924
"338",7926
"339",7933
"340",7939
"341",7943
"342",7945
"343",7969
"344",7970
"345",7974
"346",7983
"347",7989
"348",7994
"349",8012
"350",8014
"351",8026
"352",8047
"353",8086
"354",8090
"355",8093
"356",8104
"357",8110
"358",8113
"359",8271
"360",8288
"361",8296
"362",8330
"363",8332
"364",8338
"365",8352
"366",8354
"367",8359
"368",8370
"369",8377
"370",8395
"371",8401
"372",8410
"373",8417
"374",8423
"375",8427
"376",8428
"377",8448
"378",8456
"379",8476
"380",8491
"381",8647
"382",8648
"383",8649
"384",8652
"385",8660
"386",8680
"387",8692
"388",8702
"389",8704
"390",8705
"391",8710
"392",8722
"393",8729
"394",8730
"395",8735
"396",8786
"397",8792
"398",8809
"399",8817
"400",9015
"401",9053
"402",9061
"403",9068
"404",9110
"405",9149
"406",9151
"407",9180
"408",9183
"409",9201
"410",9202
"411",9207
"412",9211
"413",9375
"414",9391
"415",9392
"416",9394
"417",9425
"418",9426
"419",9427
"420",9430
"421",9437
"422",9438
"423",9447
"424",9454
"425",9470
"426",9493
"427",9497
"428",9499
"429",9522
"430",9547
"431",9581
"432",9757
"433",9771
"434",9791
"435",9822
"436",9853
"437",9857
"438",9866
"439",9893
"440",9951
"441",9954
"442",10146
"443",10156
"444",10184
"445",10185
"446",10207
"447",10208
"448",10210
"449",10231
"450",10236
"451",10244
"452",10245
"453",10248
"454",10272
"455",10273
"456",10279
"457",10284
"458",10306
"459",10480
"460",10531
"461",10532
"462",10534
"463",10547
"464",10555
"465",10579
"466",10593
"467",10602
"468",10607
"469",10638
"470",10640
"471",10669
"472",10685
"473",10823
"474",10833
"475",10864
"476",10866
"477",10882
"478",10883
"479",10892
"480",10893
"481",10899
"482",10920
"483",10921
"484",10938
"485",10956
"486",10965
"487",10986
"488",11017
"489",11019
"490",11040
"491",11044
"492",11046
"493",11066
"494",11240
"495",11242
"496",11253
"497",11266
"498",11284
"499",11299
"500",11339
"501",11348
"502",11380
"503",11381
"504",11398
"505",11399
"506",11415
"507",11601
"508",11603
"509",11611
"510",11615
"511",11617
"512",11620
"513",11622
"514",11629
"515",11644
"516",11680
"517",11686
"518",11720
"519",11722
"520",11730
"521",11732
"522",11734
"523",11764
"524",11768
"525",11772
"526",11921
"527",11936
"528",11963
"529",11972
"530",11983
"531",11992
"532",11997
"533",12001
"534",12013
"535",12025
"536",12048
"537",12059
"538",12063
"539",12072
"540",12075
"541",12081
"542",12098
"543",12099
"544",12101
"545",12102
"546",12115
"547",12116
"548",12132
"549",12270
"550",12285
"551",12287
"552",12292
"553",12297
"554",12303
"555",12306
"556",12313
"557",12320
"558",12321
"559",12347
"560",12419
"561",12454
"562",12469
"563",12473
"564",12485
"565",12487
"566",12501
"567",12502
"568",12508
"569",12511
"570",12524
"571",12683
"572",12726
"573",12737
"574",12742
"575",12759
"576",12815
"577",12824
"578",12830
"579",12850
"580",12858
"581",12859
"582",12872
"583",12880
"584",13008
"585",13016
"586",13031
"587",13076
"588",13101
"589",13103
"590",13144
"591",13145
"592",13164
"593",13174
"594",13183
"595",13204
"596",13224
"597",13379
"598",13404
"599",13414
"600",13455
"601",13466
"602",13492
"603",13500
"604",13501
"605",13504
"606",13508
"607",13540
"608",13563
"609",13566
"610",13579
"611",13583
"612",13590
"613",13591
"614",13592
"615",13594
"616",13595
"617",13612
"618",13776
"619",13805
"620",13806
"621",13807
"622",13816
"623",13838
"624",13895
"625",13908
"626",13935
"627",13936
"628",13964
"629",13966
"630",13971
"631",14104
"632",14130
"633",14133
"634",14146
"635",14157
"636",14160
"637",14173
"638",14175
"639",14178
"640",14187
"641",14198
"642",14209
"643",14267
"644",14512
"645",14514
"646",14528
"647",14529
"648",14567
"649",14570
"650",14592
"651",14639
"652",14645
"653",14656
"654",14676
"655",14689
"656",14694
"657",14697
"658",14712
"659",14833
"660",14834
"661",14866
"662",14882
"663",14913
"664",14936
"665",14938
"666",14944
"667",14953
