"January","February","March","April","May","June","July","August","September","October","November","December"
293,165,244,148,159,118,73,40,43,174,344,376
723,738,680,404,0,0,0,337,972,825,563,570
255,245,347,678,1112,1112,1198,894,215,272,323,325
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
