"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
3.6557512,4.10748,4.742505,5.4208093,6.1351867,6.8771563,7.5191693,7.746023,8.409483,8.259724,8.004887,8.131322,8.686173,9.667187,10.595334,10.454868,10.5268545,10.630228,10.346018,9.67088,8.769299,8.085551,7.291153,6.7893233
4.911578,4.7951007,4.481084,3.647554,3.2688446,4.2308087,5.4865084,7.7152467,8.660337,9.450446,8.873145,8.738135,8.836166,8.330853,7.980653,7.8080516,7.151411,6.0403943,4.791762,5.210481,4.0754943,2.7962396,2.3713017,2.6035628
8.097878,7.805679,7.5073667,7.02107,6.8878236,6.810571,6.3019743,5.325188,4.890115,4.691297,3.740126,2.7121506,2.3721666,2.8580582,3.1388397,2.7194626,1.7670338,1.8668009,2.890374,3.693716,3.154258,3.29147,1.1038109,7.8281264
10.210069,10.717016,10.9490595,10.798577,10.485839,10.169823,9.959545,9.114698,9.3615,9.318979,10.141194,9.81345,8.956272,8.162204,7.657008,7.4022994,6.502653,5.5674243,5.0210376,4.196211,4.119805,4.236387,3.8011262,3.149224
8.913464,9.219251,9.196512,8.909537,8.579026,8.287811,7.1996098,5.956072,5.191219,4.5459323,4.0816827,4.4110723,5.257637,5.547359,5.555883,4.5012584,5.0150166,7.979017,11.010109,12.031052,11.325332,10.17841,9.277802,8.259716
6.735318,7.8933206,9.305128,10.476763,11.58509,13.242409,15.136014,16.999102,16.788494,16.690128,15.474568,15.023445,14.30533,15.886869,17.277695,16.306026,14.804098,13.568447,12.581259,13.535511,13.004546,12.602187,12.184971,11.347734
9.74749,8.849824,7.6636205,6.040442,4.025757,5.2691526,7.316806,9.193148,11.343904,12.285161,12.964436,12.2776,10.504873,10.843043,8.019821,5.072918,4.9259768,5.027714,4.890908,5.386808,5.2178955,4.9083014,4.5518894,4.235952
5.69441,6.680308,7.2303653,6.221629,5.585723,4.680185,4.6350784,3.2221088,2.3439658,2.2845159,3.6538913,3.692032,5.5607123,7.5332165,9.183957,10.6315155,9.353812,8.200704,7.3533883,6.9730606,7.1960955,6.718718,6.463945,6.1399884
10.074255,9.7287245,9.759418,9.683929,9.277909,8.832773,8.614286,8.376106,8.305197,7.204367,6.738923,6.641893,6.6242447,6.665392,6.99112,6.653624,6.136034,5.5982146,5.310032,4.916183,4.376127,4.0570865,3.447877,2.9346716
2.3513477,2.3113706,3.9650571,4.487049,4.1947355,4.9235,5.197016,4.2890596,6.346708,5.024458,11.748566,11.072728,9.807411,7.4470224,8.088128,8.456167,9.552601,9.514942,8.876893,9.206375,8.707696,7.8130126,7.1508307,6.998108
8.145541,8.025374,8.028139,7.725058,7.109487,6.874479,6.592972,4.640404,3.4061863,2.6070597,1.8849697,1.4833494,1.9516133,2.6886275,3.6378262,3.598805,3.9879937,4.7190933,5.7036014,6.4697385,6.5224957,6.0759745,5.954167,5.9920063
11.653473,11.413034,11.676248,11.821084,11.128325,10.215303,9.4775715,9.315179,8.819477,8.181953,7.7420063,7.4482803,7.112827,6.9241962,7.245528,6.397989,5.420572,4.7652516,4.8465834,4.454147,3.617933,7.6354113,5.0846496,6.889165
10.571324,10.363735,10.344629,10.22086,10.036422,9.954581,9.115072,7.4859333,5.975733,4.1680946,2.5400846,2.5609121,5.360144,4.911083,5.672788,6.574837,6.5486374,6.310607,6.1242566,6.88537,6.739036,6.8558893,7.066137,7.035892
