"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
10.2676325,9.929147,9.772176,9.523735,8.995017,8.410515,7.6954274,6.0118527,4.796806,4.376078,4.235574,4.5387444,4.821326,5.1677036,5.622357,6.078499,6.5855985,7.1774254,7.5423646,7.0243907,7.128942,7.428199,7.8973155,8.178548
4.517176,3.1616035,2.659901,2.9748902,3.03464,3.0409787,3.026748,2.6764905,2.04803,1.4647297,1.1885418,1.4069124,1.871139,1.4743606,0.3355588,0.45873067,0.3733746,1.9727684,3.0846019,3.6865664,4.13492,5.0566535,5.4053836,5.8970156
9.161121,9.100324,8.887199,8.775867,8.743048,8.529448,8.344216,8.4245205,8.1580715,7.0936975,6.619405,6.2221246,5.54395,4.8947916,4.439178,3.9723716,3.5370073,3.3222537,3.5428953,3.55417,2.7229106,1.7030851,0.4537514,1.0322174
9.7655325,10.5365,10.5436,9.146175,8.367574,8.133863,7.905589,8.655094,8.648881,7.9303412,7.369341,6.3733444,5.3734736,4.887356,3.9257224,2.8649035,2.0381963,1.8511829,2.4770288,2.8645828,3.542243,4.637067,6.106545,7.1341057
8.053843,8.748701,9.365718,9.68986,9.894636,10.2094,10.2034025,8.087577,7.1212807,6.4875536,5.924678,5.565844,5.100171,4.2559357,3.9045181,4.3325167,4.663047,5.55119,6.349642,6.583913,7.0359955,7.143113,7.329637,7.1213617
8.421889,8.312391,8.211183,8.108259,8.368513,8.680057,8.600454,7.6915646,6.56646,6.140354,5.4946623,6.011778,6.5765266,6.728328,7.214189,7.3466086,7.9767594,8.53346,9.260901,10.266314,10.341414,10.29189,10.161006,10.234148
3.5231333,3.4982686,3.637499,4.393497,4.827778,4.787868,5.403936,6.857366,7.6242495,7.6919003,7.5237603,7.231978,7.043433,7.773278,8.450102,8.625728,8.743413,8.352551,7.3494754,4.7066355,5.5524573,8.654655,9.548952,9.82308
4.1055613,2.5515873,1.7307433,2.444103,4.0537543,5.4619923,6.5771,7.486155,7.7078466,8.02447,8.305592,7.844623,7.0087404,6.487922,5.828494,5.4975324,5.33381,6.9305654,8.562385,7.7164125,8.07778,8.8120165,8.712077,8.281519
3.084038,3.6680505,5.7881055,7.280712,6.682455,6.820489,7.1956854,7.7696295,7.865059,7.638772,7.2095046,7.933778,9.469672,11.150916,11.606087,11.92578,11.393834,10.695523,10.820832,10.662496,10.847449,10.003091,9.361847,9.0802355
6.9772954,6.990763,6.769958,6.453529,5.597906,4.7307534,4.27682,3.8975432,2.7156634,1.8836209,0.95283246,0.55377245,1.0462757,1.379249,2.4095001,4.471664,4.0451117,3.9568243,2.189351,1.6389083,2.1511643,2.7955894,3.8593185,4.434434
