"","x"
"1",1
"2",2
"3",3
"4",4
"5",5
"6",9
"7",10
"8",11
"9",12
"10",13
"11",14
"12",15
"13",16
"14",18
"15",27
"16",28
"17",29
"18",30
"19",31
"20",32
"21",33
"22",34
"23",35
"24",36
"25",37
"26",38
"27",39
"28",40
"29",41
"30",42
"31",43
"32",44
"33",45
"34",46
"35",47
"36",48
"37",49
"38",50
"39",51
"40",52
"41",53
"42",54
"43",55
"44",56
"45",57
"46",58
"47",59
"48",60
"49",61
"50",62
"51",63
"52",64
"53",65
"54",66
"55",67
"56",68
"57",69
"58",70
"59",71
"60",72
"61",73
"62",74
"63",75
"64",76
"65",78
"66",79
"67",80
"68",81
"69",91
"70",92
"71",94
"72",95
"73",96
"74",97
"75",98
"76",99
"77",100
"78",101
"79",103
"80",104
"81",105
"82",106
"83",113
"84",115
"85",126
"86",135
"87",136
"88",138
"89",144
"90",145
"91",146
"92",154
"93",155
"94",156
"95",160
"96",161
"97",165
"98",171
"99",172
"100",174
"101",175
"102",177
"103",183
"104",184
"105",268
"106",269
"107",270
"108",271
"109",276
"110",286
"111",287
"112",295
"113",296
"114",304
"115",305
"116",306
"117",310
"118",318
"119",319
"120",320
"121",321
"122",322
"123",323
"124",324
"125",325
"126",328
"127",331
"128",337
"129",338
"130",342
"131",343
"132",345
"133",346
"134",347
"135",348
"136",349
"137",350
"138",351
"139",352
"140",353
"141",354
"142",355
"143",356
"144",357
"145",358
"146",360
"147",361
"148",362
"149",363
"150",364
"151",365
"152",366
"153",369
"154",372
"155",373
"156",374
"157",375
"158",376
"159",379
"160",380
"161",381
"162",382
"163",384
"164",385
"165",386
"166",387
"167",388
"168",390
"169",391
"170",392
"171",394
"172",395
"173",396
"174",399
"175",400
"176",401
"177",402
"178",403
"179",407
"180",428
"181",429
"182",432
"183",433
"184",434
"185",435
"186",436
"187",437
"188",438
"189",439
"190",440
"191",441
"192",442
"193",443
"194",444
"195",445
"196",446
"197",447
"198",448
"199",449
"200",450
"201",451
"202",452
"203",453
"204",454
"205",455
"206",456
"207",457
"208",458
"209",459
"210",465
"211",466
"212",467
"213",468
"214",472
"215",473
"216",474
"217",478
"218",479
"219",480
"220",481
"221",484
"222",485
"223",486
"224",488
"225",493
"226",497
"227",500
"228",515
"229",523
"230",524
"231",527
"232",647
"233",648
"234",649
"235",652
"236",674
"237",675
"238",676
"239",702
"240",720
"241",721
"242",722
"243",723
"244",724
"245",725
"246",726
"247",727
"248",728
"249",729
"250",735
"251",736
"252",737
"253",738
"254",739
"255",740
"256",741
"257",742
"258",743
"259",744
"260",745
"261",746
"262",747
"263",748
"264",749
"265",750
"266",753
"267",755
"268",756
"269",757
"270",758
"271",760
"272",769
"273",770
"274",771
"275",772
"276",773
"277",774
"278",775
"279",776
"280",777
"281",778
"282",779
"283",780
"284",783
"285",784
"286",785
"287",786
"288",787
"289",788
"290",789
"291",790
"292",791
"293",792
"294",793
"295",794
"296",795
"297",796
"298",797
"299",798
"300",799
"301",800
"302",801
"303",802
"304",803
"305",804
"306",805
"307",806
"308",807
"309",808
"310",809
"311",810
"312",811
"313",812
"314",813
"315",814
"316",815
"317",816
"318",817
"319",825
"320",826
"321",827
"322",828
"323",829
"324",830
"325",831
"326",832
"327",833
"328",834
"329",835
"330",836
"331",837
"332",838
"333",839
"334",840
"335",841
"336",842
"337",843
"338",844
"339",845
"340",846
"341",847
"342",848
"343",849
"344",851
"345",852
"346",853
"347",854
"348",859
"349",860
"350",861
"351",863
"352",865
"353",870
"354",901
"355",902
"356",903
"357",904
"358",906
"359",907
"360",910
"361",913
"362",925
"363",929
"364",942
"365",945
"366",993
"367",1001
"368",1002
"369",1003
"370",1008
"371",1009
"372",1016
"373",1017
"374",1018
"375",1029
"376",1030
"377",1031
"378",1032
"379",1042
"380",1051
"381",1060
"382",1061
"383",1064
"384",1072
"385",1085
"386",1086
"387",1087
"388",1088
"389",1089
"390",1090
"391",1095
"392",1096
"393",1097
"394",1098
"395",1099
"396",1100
"397",1103
"398",1104
"399",1105
"400",1106
"401",1107
"402",1108
"403",1109
"404",1110
"405",1112
"406",1113
"407",1114
"408",1115
"409",1116
"410",1117
"411",1118
"412",1119
"413",1120
"414",1121
"415",1122
"416",1123
"417",1124
"418",1125
"419",1127
"420",1129
"421",1130
"422",1131
"423",1132
"424",1133
"425",1134
"426",1135
"427",1136
"428",1137
"429",1138
"430",1139
"431",1140
"432",1142
"433",1143
"434",1144
"435",1145
"436",1155
"437",1156
