"January","February","March","April","May","June","July","August","September","October","November","December"
239,263,370,480,292,173,87,10,0,4,20,121
672,528,490,239,19,0,1,546,1183,1230,1101,873
360,357,411,511,960,1057,1183,715,47,37,109,277
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
