"","x"
"1",10
"2",95
"3",122
"4",123
"5",154
"6",173
"7",246
"8",247
"9",264
"10",268
"11",303
"12",318
"13",340
"14",374
"15",379
"16",384
"17",428
"18",430
"19",469
"20",513
"21",548
"22",549
"23",563
"24",612
"25",638
"26",639
"27",645
"28",665
"29",686
"30",688
"31",712
"32",726
"33",738
"34",790
"35",795
"36",803
"37",804
"38",825
"39",834
"40",853
"41",869
"42",876
"43",901
"44",920
"45",941
"46",961
"47",1000
"48",1007
"49",1014
"50",1016
"51",1029
"52",1030
"53",1031
"54",1040
"55",1041
"56",1046
"57",1060
"58",1066
"59",1071
"60",1072
"61",1090
"62",1095
"63",1178
"64",1244
"65",1245
"66",1246
"67",1272
"68",1278
"69",1279
"70",1297
"71",1315
"72",1316
"73",1340
"74",1378
"75",1379
"76",1383
"77",1385
"78",1403
"79",1411
"80",1420
"81",1426
"82",1427
"83",1438
"84",1450
"85",1466
"86",1476
"87",1478
"88",1479
"89",1552
"90",1592
"91",1686
"92",1698
"93",1713
"94",1719
"95",1729
"96",1733
"97",1756
"98",1777
"99",1793
"100",1804
"101",1815
"102",1824
"103",1840
"104",1872
"105",1933
"106",1967
"107",2005
"108",2049
"109",2059
"110",2088
"111",2096
"112",2101
"113",2102
"114",2103
"115",2115
"116",2121
"117",2124
"118",2131
"119",2147
"120",2153
"121",2204
"122",2219
"123",2222
"124",2290
"125",2341
"126",2369
"127",2474
"128",2478
"129",2486
"130",2524
"131",2531
"132",2565
"133",2582
"134",2645
"135",2646
"136",2669
"137",2707
"138",2729
"139",2766
"140",2773
"141",2784
"142",2821
"143",2822
"144",2830
"145",2847
"146",2857
"147",2865
"148",2866
"149",2875
"150",2878
"151",2879
"152",2881
"153",2886
"154",2887
"155",2889
"156",2895
"157",2902
"158",2903
"159",2905
"160",2944
"161",2948
"162",2952
"163",2953
"164",2954
"165",2961
"166",2966
"167",2969
"168",2974
"169",3012
"170",3015
"171",3031
"172",3064
"173",3086
"174",3095
"175",3142
"176",3164
"177",3191
"178",3192
"179",3206
"180",3247
"181",3248
"182",3249
"183",3276
"184",3282
"185",3292
"186",3298
"187",3318
"188",3328
"189",3336
"190",3345
"191",3393
"192",3403
"193",3448
"194",3461
"195",3530
"196",3543
"197",3570
"198",3590
"199",3601
"200",3652
"201",3672
"202",3715
"203",3726
"204",3730
"205",3749
"206",3770
"207",3792
"208",3822
"209",3827
"210",3890
"211",3902
"212",3903
"213",3917
"214",3944
"215",3955
"216",3958
"217",3959
"218",3964
"219",3976
"220",3977
"221",4011
"222",4019
"223",4024
"224",4086
"225",4134
"226",4135
"227",4140
"228",4141
"229",4143
"230",4144
"231",4206
"232",4234
"233",4235
"234",4236
"235",4284
"236",4288
"237",4319
"238",4346
"239",4349
"240",4375
"241",4414
"242",4415
"243",4472
"244",4484
"245",4485
"246",4489
"247",4499
"248",4500
"249",4506
"250",4507
"251",4514
"252",4523
"253",4593
"254",4605
"255",4630
"256",4631
"257",4674
"258",4683
"259",4710
"260",4714
"261",4755
"262",4774
"263",4781
"264",4813
"265",4814
"266",4819
"267",4820
"268",4860
"269",4879
"270",4914
"271",4915
"272",4924
"273",4933
"274",4951
"275",4967
"276",4968
"277",4976
"278",4999
"279",5005
"280",5007
"281",5040
"282",5041
"283",5068
"284",5069
"285",5075
"286",5088
"287",5090
"288",5091
"289",5110
"290",5167
"291",5200
"292",5202
"293",5204
"294",5258
"295",5300
"296",5326
"297",5329
"298",5345
"299",5424
"300",5428
"301",5429
"302",5458
"303",5462
"304",5478
"305",5491
"306",5503
"307",5547
"308",5577
"309",5586
"310",5602
"311",5751
"312",5769
"313",5776
"314",5812
"315",5846
"316",5863
"317",5872
"318",5902
"319",5962
"320",5969
"321",5983
"322",6042
"323",6079
"324",6118
"325",6127
"326",6139
"327",6140
"328",6217
"329",6260
"330",6297
"331",6315
"332",6316
"333",6380
"334",6381
"335",6441
"336",6455
"337",6456
"338",6469
"339",6494
"340",6517
"341",6534
"342",6535
"343",6536
"344",6554
"345",6555
"346",6607
"347",6640
"348",6643
"349",6652
"350",6676
"351",6689
"352",6720
"353",6746
"354",6760
"355",6853
"356",6854
"357",6860
"358",6875
"359",6877
"360",6880
"361",6881
"362",6892
"363",6902
"364",6917
"365",6918
"366",6934
"367",6945
"368",6963
"369",6964
"370",6987
"371",7022
"372",7023
"373",7062
"374",7200
"375",7225
"376",7226
"377",7234
"378",7235
"379",7236
"380",7253
"381",7259
"382",7274
"383",7369
"384",7436
"385",7447
"386",7451
"387",7540
"388",7546
"389",7601
"390",7606
"391",7662
"392",7663
"393",7685
"394",7696
"395",7709
"396",7732
"397",7790
"398",7812
"399",7813
"400",7858
"401",7919
"402",7970
"403",7971
"404",7974
"405",7982
"406",7997
"407",8017
"408",8062
"409",8075
"410",8076
"411",8104
"412",8113
"413",8127
"414",8153
"415",8167
"416",8171
"417",8172
"418",8175
"419",8218
"420",8224
"421",8239
"422",8274
"423",8287
"424",8294
"425",8295
"426",8333
"427",8366
"428",8436
"429",8438
"430",8441
"431",8442
"432",8462
"433",8466
"434",8467
"435",8495
"436",8538
"437",8579
"438",8623
"439",8665
"440",8666
"441",8700
"442",8701
"443",8727
"444",8728
"445",8731
"446",8734
"447",8745
"448",8750
"449",8758
"450",8830
"451",8832
"452",8843
"453",8850
"454",8851
"455",8852
"456",8856
"457",8857
"458",8858
"459",8859
"460",8861
"461",8906
"462",8915
"463",8950
"464",8951
"465",8999
"466",9000
"467",9039
"468",9058
"469",9059
"470",9082
"471",9101
"472",9102
"473",9103
"474",9111
"475",9112
"476",9114
"477",9115
"478",9119
"479",9125
"480",9126
"481",9134
"482",9190
"483",9265
"484",9293
"485",9294
"486",9295
"487",9311
"488",9416
"489",9425
"490",9426
"491",9440
"492",9443
"493",9461
"494",9484
"495",9485
"496",9494
"497",9496
"498",9517
"499",9520
"500",9527
"501",9565
"502",9574
"503",9583
"504",9585
"505",9588
"506",9602
"507",9621
"508",9668
"509",9690
"510",9691
"511",9700
"512",9754
"513",9757
"514",9776
"515",9777
"516",9779
"517",9780
"518",9782
"519",9797
"520",9799
"521",9813
"522",9820
"523",9822
"524",9823
"525",9825
"526",9840
"527",9841
"528",9847
"529",9848
"530",9850
"531",9853
"532",9865
"533",9876
"534",9882
"535",9951
"536",9953
"537",9962
"538",10059
"539",10146
"540",10147
"541",10160
"542",10163
"543",10189
"544",10193
"545",10225
"546",10237
"547",10259
"548",10268
