"","x"
"1",7
"2",46
"3",65
"4",77
"5",78
"6",79
"7",82
"8",83
"9",85
"10",107
"11",108
"12",109
"13",110
"14",111
"15",112
"16",113
"17",114
"18",116
"19",127
"20",132
"21",133
"22",134
"23",147
"24",148
"25",150
"26",156
"27",157
"28",158
"29",159
"30",160
"31",161
"32",162
"33",167
"34",168
"35",169
"36",179
"37",180
"38",181
"39",182
"40",183
"41",184
"42",188
"43",189
"44",191
"45",192
"46",193
"47",197
"48",198
"49",206
"50",207
"51",210
"52",213
"53",214
"54",215
"55",216
"56",217
"57",221
"58",222
"59",225
"60",226
"61",227
"62",234
"63",240
"64",241
"65",242
"66",243
"67",249
"68",250
"69",251
"70",252
"71",253
"72",254
"73",255
"74",256
"75",257
"76",261
"77",262
"78",267
"79",274
"80",275
"81",279
"82",280
"83",281
"84",282
"85",288
"86",289
"87",290
"88",291
"89",292
"90",293
"91",294
"92",297
"93",298
"94",314
"95",393
"96",394
"97",398
"98",399
"99",410
"100",411
"101",412
"102",413
"103",414
"104",415
"105",416
"106",417
"107",418
"108",419
"109",420
"110",421
"111",422
"112",461
"113",462
"114",475
"115",476
"116",480
"117",481
"118",482
"119",490
"120",491
"121",492
"122",493
"123",494
"124",495
"125",503
"126",505
"127",506
"128",507
"129",508
"130",526
"131",529
"132",538
"133",539
"134",540
"135",541
"136",542
"137",543
"138",551
"139",552
"140",553
"141",554
"142",555
"143",556
"144",557
"145",558
"146",559
"147",560
"148",561
"149",575
"150",578
"151",580
"152",581
"153",582
"154",583
"155",584
"156",585
"157",598
"158",599
"159",600
"160",601
"161",609
"162",610
"163",615
"164",616
"165",617
"166",618
"167",625
"168",626
"169",627
"170",629
"171",631
"172",632
"173",662
"174",669
"175",709
"176",710
"177",717
"178",718
"179",719
"180",731
"181",761
"182",762
"183",763
"184",770
"185",771
"186",772
"187",774
"188",779
"189",780
"190",822
"191",823
"192",831
"193",839
"194",840
"195",849
"196",850
"197",851
"198",855
"199",856
"200",857
"201",858
"202",859
"203",862
"204",863
"205",867
"206",879
"207",880
"208",881
"209",882
"210",883
"211",884
"212",885
"213",890
"214",891
"215",892
"216",893
"217",894
"218",895
"219",896
"220",898
"221",899
"222",911
"223",912
"224",913
"225",914
"226",915
"227",916
"228",927
"229",928
"230",932
"231",933
"232",934
"233",935
"234",936
"235",937
"236",938
"237",939
"238",947
"239",948
"240",949
"241",954
"242",955
"243",956
"244",957
"245",958
"246",963
"247",968
"248",969
"249",970
"250",971
"251",972
"252",975
"253",976
"254",977
"255",981
"256",988
"257",989
"258",995
"259",996
"260",997
"261",998
"262",1003
"263",1004
"264",1005
"265",1011
"266",1012
"267",1019
"268",1020
"269",1023
"270",1024
"271",1036
"272",1037
"273",1048
"274",1074
"275",1075
"276",1076
"277",1081
"278",1082
"279",1092
"280",1093
"281",1127
"282",1141
"283",1142
"284",1146
"285",1147
"286",1149
"287",1150
"288",1161
"289",1162
"290",1173
"291",1175
"292",1176
"293",1187
"294",1195
"295",1209
"296",1213
"297",1214
"298",1215
"299",1216
"300",1219
"301",1220
"302",1225
"303",1229
"304",1230
"305",1258
"306",1260
"307",1263
"308",1264
"309",1265
"310",1266
"311",1267
"312",1268
"313",1270
"314",1281
"315",1282
"316",1284
"317",1290
"318",1291
"319",1292
"320",1299
"321",1300
"322",1303
"323",1304
"324",1305
"325",1306
"326",1307
"327",1311
"328",1312
"329",1313
"330",1318
"331",1319
"332",1322
"333",1325
"334",1329
"335",1330
"336",1331
"337",1332
"338",1333
"339",1334
"340",1335
"341",1336
"342",1343
"343",1348
"344",1349
"345",1350
"346",1356
"347",1359
"348",1360
"349",1361
"350",1365
"351",1368
"352",1369
"353",1370
"354",1371
"355",1372
"356",1373
"357",1374
"358",1375
"359",1376
"360",1393
"361",1394
"362",1395
"363",1396
"364",1397
"365",1398
"366",1399
"367",1400
"368",1401
"369",1424
"370",1456
"371",1461
"372",1462
"373",1463
"374",1489
"375",1490
"376",1500
"377",1504
"378",1505
"379",1506
"380",1517
"381",1518
"382",1519
"383",1559
"384",1560
"385",1561
"386",1562
"387",1563
"388",1564
"389",1578
"390",1579
"391",1583
"392",1584
"393",1588
"394",1589
"395",1600
"396",1601
"397",1602
"398",1612
"399",1613
"400",1614
"401",1630
"402",1631
"403",1632
"404",1633
"405",1634
"406",1635
"407",1636
"408",1640
"409",1641
"410",1642
"411",1643
"412",1644
"413",1649
"414",1650
"415",1651
"416",1652
"417",1657
"418",1658
"419",1659
"420",1660
"421",1661
"422",1665
"423",1666
"424",1667
"425",1668
"426",1671
"427",1672
"428",1680
"429",1681
"430",1682
"431",1683
"432",1684
"433",1690
"434",1691
"435",1692
"436",1693
"437",1700
"438",1701
"439",1702
"440",1703
"441",1704
"442",1705
"443",1706
"444",1707
"445",1708
"446",1709
"447",1710
"448",1721
"449",1722
"450",1726
"451",1727
"452",1728
"453",1735
"454",1736
"455",1737
"456",1738
"457",1745
"458",1746
"459",1749
"460",1750
"461",1751
"462",1764
"463",1765
"464",1766
"465",1770
"466",1771
"467",1772
"468",1779
"469",1780
"470",1781
"471",1788
"472",1814
"473",1869
"474",1906
"475",1907
"476",1937
"477",1938
"478",1939
"479",1940
"480",1941
"481",1942
"482",1951
"483",1952
"484",1962
"485",1963
"486",1964
"487",1969
"488",1970
"489",1971
"490",1976
"491",1977
"492",1995
"493",1996
"494",1997
"495",2000
"496",2001
"497",2010
"498",2011
"499",2018
"500",2019
"501",2020
"502",2021
"503",2022
"504",2023
"505",2024
"506",2025
"507",2026
"508",2027
"509",2028
"510",2030
"511",2031
"512",2032
"513",2033
"514",2034
"515",2035
"516",2036
"517",2037
"518",2038
"519",2039
"520",2040
"521",2041
"522",2042
"523",2043
"524",2044
"525",2045
"526",2046
"527",2047
"528",2052
"529",2053
"530",2054
"531",2055
"532",2056
"533",2057
"534",2071
"535",2072
"536",2073
"537",2076
"538",2077
"539",2078
"540",2079
"541",2080
"542",2083
"543",2084
"544",2085
"545",2091
"546",2108
"547",2109
"548",2116
"549",2117
"550",2137
"551",2138
"552",2139
"553",2140
"554",2141
"555",2142
"556",2143
"557",2144
"558",2212
"559",2243
"560",2244
"561",2261
"562",2273
"563",2274
"564",2298
"565",2310
"566",2315
"567",2327
"568",2328
"569",2333
"570",2334
"571",2335
"572",2336
"573",2337
"574",2338
"575",2339
"576",2344
"577",2345
"578",2349
"579",2350
"580",2351
"581",2352
"582",2353
"583",2354
"584",2355
"585",2356
"586",2357
"587",2358
"588",2359
"589",2360
"590",2361
"591",2362
"592",2363
"593",2364
"594",2365
"595",2366
"596",2379
"597",2380
"598",2381
"599",2385
"600",2386
"601",2387
"602",2401
"603",2405
"604",2406
"605",2407
"606",2408
"607",2409
"608",2410
"609",2411
"610",2412
"611",2416
"612",2430
"613",2431
"614",2432
"615",2433
"616",2434
"617",2435
"618",2436
"619",2437
"620",2438
"621",2439
"622",2440
"623",2441
"624",2442
"625",2443
"626",2444
"627",2445
"628",2446
"629",2447
"630",2448
"631",2449
"632",2453
"633",2455
"634",2456
"635",2457
"636",2461
"637",2462
"638",2465
"639",2466
"640",2467
"641",2483
"642",2484
"643",2488
"644",2489
"645",2494
"646",2495
"647",2496
"648",2497
"649",2507
"650",2508
"651",2516
"652",2541
"653",2542
"654",2543
"655",2544
"656",2598
"657",2606
"658",2607
"659",2608
"660",2609
"661",2610
"662",2611
"663",2613
"664",2630
"665",2631
"666",2632
"667",2658
"668",2659
"669",2660
"670",2661
"671",2662
"672",2663
"673",2686
"674",2687
"675",2688
"676",2691
"677",2692
"678",2693
"679",2702
"680",2720
"681",2731
"682",2732
"683",2734
"684",2735
"685",2736
"686",2738
"687",2739
"688",2740
"689",2742
"690",2743
"691",2756
"692",2759
"693",2760
"694",2761
"695",2762
"696",2763
"697",2769
"698",2772
"699",2781
"700",2786
"701",2790
"702",2791
"703",2792
"704",2795
"705",2796
"706",2797
"707",2798
"708",2799
"709",2800
"710",2806
"711",2807
"712",2808
"713",2810
"714",2811
"715",2812
"716",2819
"717",2825
"718",2826
"719",2828
"720",2832
"721",2833
"722",2843
"723",2844
"724",2852
"725",2853
"726",2862
"727",2871
"728",2873
"729",2934
"730",2971
"731",2972
"732",3005
"733",3006
"734",3007
"735",3017
"736",3020
"737",3021
"738",3039
"739",3040
"740",3041
"741",3046
"742",3073
"743",3074
"744",3077
"745",3078
"746",3079
"747",3080
"748",3081
"749",3082
"750",3083
"751",3084
"752",3089
"753",3098
"754",3099
"755",3100
"756",3101
"757",3102
"758",3103
"759",3104
"760",3105
"761",3106
"762",3115
"763",3116
"764",3117
"765",3118
"766",3119
"767",3120
"768",3122
"769",3123
"770",3128
"771",3129
"772",3130
"773",3131
"774",3132
"775",3133
"776",3134
"777",3135
"778",3136
"779",3137
"780",3138
"781",3139
"782",3144
"783",3145
"784",3146
"785",3147
"786",3148
"787",3149
"788",3150
"789",3151
"790",3152
"791",3155
"792",3156
"793",3160
"794",3161
"795",3162
"796",3166
"797",3167
"798",3168
"799",3169
"800",3170
"801",3171
"802",3172
"803",3173
"804",3174
"805",3175
"806",3176
"807",3180
"808",3181
"809",3182
"810",3183
"811",3184
"812",3185
"813",3187
"814",3188
"815",3189
"816",3194
"817",3195
"818",3196
"819",3200
"820",3201
"821",3202
"822",3204
"823",3205
"824",3222
"825",3223
"826",3230
"827",3231
"828",3235
"829",3236
"830",3240
"831",3241
"832",3309
"833",3313
"834",3314
"835",3315
"836",3334
"837",3343
"838",3363
"839",3364
"840",3365
"841",3373
"842",3374
"843",3380
"844",3385
"845",3399
"846",3400
"847",3414
"848",3415
"849",3416
"850",3417
"851",3418
"852",3419
"853",3420
"854",3421
"855",3422
"856",3423
"857",3424
"858",3425
"859",3426
"860",3427
"861",3428
"862",3429
"863",3437
"864",3438
"865",3442
"866",3443
"867",3450
"868",3451
"869",3452
"870",3455
"871",3456
"872",3467
"873",3468
"874",3469
"875",3470
"876",3473
"877",3474
"878",3475
"879",3476
"880",3477
"881",3482
"882",3483
"883",3484
"884",3485
"885",3486
"886",3487
"887",3499
"888",3500
"889",3501
"890",3504
"891",3505
"892",3510
"893",3511
"894",3512
"895",3513
"896",3514
"897",3515
"898",3516
"899",3517
"900",3518
"901",3522
"902",3526
"903",3527
"904",3528
"905",3532
"906",3536
"907",3547
"908",3550
"909",3551
"910",3552
"911",3555
"912",3556
"913",3559
"914",3560
"915",3561
"916",3573
"917",3579
"918",3580
"919",3583
"920",3584
"921",3585
"922",3586
"923",3587
"924",3588
"925",3607
"926",3608
"927",3610
"928",3669
"929",3677
"930",3678
"931",3679
"932",3680
"933",3681
"934",3682
"935",3683
"936",3684
"937",3717
"938",3718
"939",3719
"940",3760
"941",3761
"942",3762
"943",3763
"944",3764
"945",3765
"946",3766
"947",3767
"948",3785
"949",3794
"950",3795
"951",3796
"952",3797
"953",3798
"954",3799
"955",3800
"956",3801
"957",3802
"958",3803
"959",3804
"960",3805
"961",3806
"962",3813
"963",3814
"964",3815
"965",3820
"966",3829
"967",3830
"968",3831
"969",3844
"970",3845
"971",3857
"972",3858
"973",3863
"974",3864
"975",3865
"976",3866
"977",3867
"978",3868
"979",3869
"980",3870
"981",3871
"982",3873
"983",3874
"984",3875
"985",3876
"986",3877
"987",3884
"988",3885
"989",3886
"990",3887
"991",3888
"992",3892
"993",3893
"994",3897
"995",3898
"996",3899
"997",3905
"998",3911
"999",3912
"1000",3915
"1001",3920
"1002",3921
"1003",3922
"1004",3924
"1005",3925
"1006",3926
"1007",3927
"1008",3928
"1009",3929
"1010",3930
"1011",3933
"1012",3937
"1013",3940
"1014",3941
"1015",3961
"1016",3967
"1017",3968
"1018",3972
"1019",3973
"1020",3989
"1021",3990
"1022",4001
"1023",4073
"1024",4074
"1025",4080
"1026",4081
"1027",4082
"1028",4083
"1029",4084
"1030",4126
"1031",4127
"1032",4148
"1033",4149
"1034",4154
"1035",4155
"1036",4157
"1037",4160
"1038",4161
"1039",4162
"1040",4163
"1041",4164
"1042",4165
"1043",4166
"1044",4167
"1045",4168
"1046",4169
"1047",4170
"1048",4176
"1049",4177
"1050",4181
"1051",4191
"1052",4192
"1053",4193
"1054",4194
"1055",4197
"1056",4203
"1057",4211
"1058",4212
"1059",4213
"1060",4214
"1061",4215
"1062",4216
"1063",4217
"1064",4218
"1065",4222
"1066",4223
"1067",4224
"1068",4225
"1069",4226
"1070",4227
"1071",4228
"1072",4231
"1073",4232
"1074",4240
"1075",4241
"1076",4242
"1077",4243
"1078",4244
"1079",4245
"1080",4246
"1081",4247
"1082",4248
"1083",4249
"1084",4250
"1085",4251
"1086",4252
"1087",4255
"1088",4256
"1089",4261
"1090",4262
"1091",4263
"1092",4264
"1093",4268
"1094",4269
"1095",4279
"1096",4286
"1097",4293
"1098",4296
"1099",4297
"1100",4301
"1101",4302
"1102",4305
"1103",4306
"1104",4307
"1105",4308
"1106",4309
"1107",4310
"1108",4311
"1109",4312
"1110",4313
"1111",4314
"1112",4315
"1113",4316
"1114",4317
"1115",4342
"1116",4343
"1117",4344
"1118",4420
"1119",4424
"1120",4427
"1121",4428
"1122",4429
"1123",4431
"1124",4434
"1125",4435
"1126",4443
"1127",4444
"1128",4450
"1129",4451
"1130",4452
"1131",4453
"1132",4454
"1133",4456
"1134",4466
"1135",4467
"1136",4468
