"","x"
"1",12
"2",2
"3",9
"4",9
"5",15
"6",12
"7",6
"8",9
"9",10
"10",6
"11",6
"12",9
"13",14
"14",15
"15",15
"16",11
"17",10
"18",2
"19",6
"20",8
"21",9
"22",5
"23",3
"24",8
"25",13
"26",10
"27",5
"28",5
"29",14
"30",7
"31",3
"32",13
"33",14
"34",11
"35",11
"36",7
"37",2
"38",1
"39",9
"40",11
"41",3
"42",3
"43",5
"44",9
"45",10
"46",11
"47",2
"48",9
"49",4
"50",10
"51",8
"52",1
"53",1
"54",9
"55",6
"56",1
"57",9
"58",2
"59",9
"60",1
"61",2
"62",1
"63",8
"64",5
"65",2
"66",1
"67",6
"68",2
"69",1
"70",9
"71",2
"72",3
"73",13
"74",15
"75",4
"76",5
"77",5
"78",2
"79",1
"80",1
"81",5
"82",9
"83",2
"84",1
"85",1
"86",1
"87",3
"88",13
"89",7
"90",7
"91",11
"92",7
"93",5
"94",2
"95",9
"96",1
"97",10
"98",11
"99",5
"100",5
"101",5
"102",8
"103",8
"104",6
"105",8
"106",3
"107",11
"108",2
"109",2
"110",9
"111",10
"112",7
"113",5
"114",2
"115",10
"116",11
"117",3
"118",1
"119",2
"120",10
"121",10
"122",7
"123",10
"124",15
"125",3
"126",1
"127",9
"128",3
"129",5
"130",2
"131",9
"132",11
"133",3
"134",6
"135",1
"136",9
"137",10
"138",3
"139",2
"140",9
"141",13
"142",4
"143",9
"144",2
"145",1
"146",6
"147",2
"148",2
"149",9
"150",3
"151",1
"152",8
"153",10
"154",12
"155",3
"156",2
"157",1
"158",5
"159",3
"160",6
"161",2
"162",1
"163",13
"164",15
"165",12
"166",9
"167",2
"168",9
"169",3
"170",13
"171",11
"172",4
"173",5
"174",10
"175",11
"176",7
"177",15
"178",3
"179",7
"180",5
"181",15
"182",7
"183",8
"184",1
"185",6
"186",10
"187",11
"188",15
"189",5
"190",12
"191",3
"192",1
"193",1
"194",6
"195",14
"196",4
"197",3
"198",1
"199",13
"200",4
"201",5
"202",4
"203",8
"204",5
"205",11
"206",7
"207",14
"208",12
"209",10
"210",5
"211",8
"212",3
"213",13
"214",5
"215",15
"216",7
"217",2
"218",14
"219",4
"220",6
"221",13
"222",3
"223",8
"224",13
"225",3
"226",9
"227",2
"228",9
"229",4
"230",14
"231",5
"232",14
"233",3
"234",10
"235",4
"236",6
"237",1
"238",14
"239",2
"240",14
"241",7
"242",7
"243",3
"244",6
"245",6
"246",14
"247",12
"248",3
"249",1
"250",11
"251",2
"252",4
"253",9
"254",5
"255",14
"256",11
"257",7
"258",15
"259",12
"260",7
"261",7
"262",9
"263",6
"264",13
"265",4
"266",9
"267",1
"268",13
"269",11
"270",16
"271",16
"272",15
"273",15
"274",12
"275",7
"276",2
"277",13
"278",8
"279",5
"280",15
"281",12
"282",6
"283",10
"284",15
"285",11
"286",11
"287",11
"288",11
"289",11
"290",7
"291",2
"292",9
"293",2
"294",3
"295",14
"296",5
"297",9
"298",7
"299",2
"300",2
"301",6
"302",8
"303",14
"304",8
"305",13
"306",15
"307",7
"308",11
"309",4
"310",9
"311",8
"312",10
"313",4
"314",8
"315",6
"316",9
"317",13
"318",11
"319",7
"320",5
"321",10
"322",15
"323",4
"324",2
"325",10
"326",3
"327",8
"328",3
"329",13
"330",13
"331",11
"332",12
"333",11
"334",11
"335",15
"336",12
"337",2
"338",10
"339",4
"340",9
"341",1
"342",13
"343",5
"344",1
"345",1
"346",13
"347",10
"348",12
"349",8
"350",8
"351",2
"352",3
"353",10
"354",10
"355",8
"356",10
"357",11
"358",7
"359",10
"360",11
"361",11
"362",11
"363",6
"364",8
"365",14
"366",7
"367",11
"368",5
"369",5
"370",14
"371",4
"372",4
"373",9
"374",11
"375",11
"376",11
"377",11
"378",2
"379",10
"380",11
"381",11
"382",4
"383",1
"384",14
"385",10
"386",8
"387",5
"388",11
"389",11
"390",15
"391",15
"392",15
"393",3
"394",6
"395",6
"396",15
"397",4
"398",2
"399",9
"400",13
"401",13
"402",15
"403",15
"404",7
"405",2
"406",1
"407",9
"408",10
"409",1
"410",10
"411",3
"412",6
"413",11
"414",3
"415",9
"416",14
"417",11
"418",11
"419",11
"420",10
"421",2
"422",9
"423",9
"424",13
"425",9
"426",3
"427",8
"428",10
"429",11
"430",5
"431",9
"432",6
"433",9
"434",5
"435",2
"436",6
"437",9
"438",4
"439",8
"440",13
"441",6
"442",9
"443",5
"444",6
"445",8
"446",9
"447",5
"448",9
"449",6
"450",5
"451",10
"452",11
"453",3
